RENT_NM,RENT_TYPE,STATION_NO,STATION_NAME,GENDER_CD,AGE_TYPE,USE_CNT,EXER_AMT,CARBON_AMT,MOVE_METER,MOVE_TIME,START_INDEX,END_INDEX,RNUM
202308,정기권,04267,4267. 서대문역 2번 출구,F,20대,91,4210.42,43.02,185443.67,1399,0,0,21563
202308,정기권,04269,4269. 연희IC 남측,F,20대,108,5616.27,58.12,254633.62,2011,0,0,21575
202308,정기권,04270,4270. 우국한마음 아파트 맞은편,F,20대,167,8080.68,79.70,343639.72,2322,0,0,21658
202308,정기권,04271,4271. 충정로역 1번 출구,F,20대,21,900.81,8.40,36317.01,466,0,0,21624
202308,정기권,04272,4272. 홍남교 사거리,F,20대,137,12320.03,118.76,511908.53,2894,0,0,21631
202308,정기권,04273,4273. 홍연2교 사거리,F,20대,99,4423.36,42.96,184990.12,928,0,0,21632
202308,정기권,04274,4274. 신촌 파랑고래 입구,F,20대,115,5900.16,57.55,248293.80,2435,0,0,21659
202308,정기권,04275,4275.농협생명본사빌딩 서관,F,20대,34,1493.55,14.90,64259.22,539,0,0,21726
202308,정기권,04303,4303. 매헌역 2번출구앞광역버스 정류장앞(22-297),F,20대,43,1992.92,19.79,91994.88,767,0,0,21165
202308,정기권,04304,4304. 서울고앞,F,20대,21,1093.13,10.78,46413.66,456,0,0,21166
202308,정기권,04305,4305. 서일스포츠센터,F,20대,13,573.94,5.63,25166.29,206,0,0,21167
202308,정기권,04306,4306. 서래공원 앞,F,20대,52,3319.43,32.49,139814.15,997,0,0,21168
202308,정기권,04307,4307. 고투몰 gate 15옆,F,20대,91,3550.65,37.16,160222.50,1606,0,0,21169
202308,정기권,04310,4310. 염곡동(염통골) 입구,F,20대,4,95.42,0.85,3707.03,38,0,0,21171
202308,정기권,04312,4312. 반포미도2차아파트 옆,F,20대,42,1863.42,18.75,80761.14,814,0,0,21172
202308,정기권,04313,4313. 반포종합운동장,F,20대,32,3009.69,30.38,130910.83,771,0,0,21173
202308,정기권,04314,4314. 탑성마을 버스정거장 옆,F,20대,6,537.19,5.67,24431.02,154,0,0,21174
202308,정기권,04315,4315. 이투스교육 앞,F,20대,31,1836.70,17.16,74001.46,526,0,0,21175
202308,정기권,04316,4316. 고속터미널역 3번출구,F,20대,68,2270.03,22.44,99402.32,918,0,0,21176
202308,정기권,04317,4317. 양재근린공원,F,20대,133,4237.53,41.05,180600.99,2170,0,0,21177
202308,정기권,04318,4318. 방배역 2번 출구,F,20대,42,2209.92,22.08,95291.77,936,0,0,21178
202308,정기권,04319,4319. 삼성전자R&D어린이집 뒤,F,20대,15,545.28,6.03,25913.90,235,0,0,21072
202308,정기권,04320,4320. 신영체르니 아파트,F,20대,19,1176.54,11.82,50872.38,441,0,0,21079
202308,정기권,04323,4323. 내곡도서관,F,20대,16,905.02,8.99,38678.98,276,0,0,21389
202308,정기권,04324,4324. 세화고등학교,F,20대,9,652.87,7.10,30620.74,212,0,0,21450
202308,정기권,04327,4327. 몽마르뜨공원입구,F,20대,11,295.16,2.94,12686.57,92,0,0,21523
202308,정기권,04329,4329. SC제일은행 양재동지점 앞,F,20대,42,2996.36,28.99,125791.42,760,0,0,21479
202308,정기권,04332,4332. 이수교차로,F,20대,131,9601.80,92.97,400829.58,3430,0,0,21600
202308,정기권,04333,4333. 서울고등학교 건너편,F,20대,10,413.20,4.59,19834.82,319,0,0,21663
202308,정기권,04335,4335. 인재개발원 배움관,F,20대,3,134.00,1.21,5206.03,45,0,0,21676
202308,정기권,04336,4336. 서울교육청 교육연수원 앞,F,20대,7,465.33,4.19,18078.04,117,0,0,21701
202308,정기권,04337,4337. 우면산등산로 입구,F,20대,5,195.19,1.91,8232.69,103,0,0,21702
202308,정기권,04340,4340. 방배래미안아트힐아파트 앞,F,20대,7,252.74,2.47,10685.48,66,0,0,21744
202308,정기권,04341,4341. 영동1교 북단,F,20대,42,1584.51,16.01,69024.83,601,0,0,21745
202308,정기권,04363,4363. 신금호역 2번출구 앞,F,20대,9,314.84,3.26,15786.96,367,0,0,21370
202308,정기권,04367,4367. kt 행당빌딩 앞,F,20대,65,3452.36,35.95,154937.01,1295,0,0,21298
202308,정기권,04370,4370. 성동교 사거리,F,20대,61,4678.79,47.24,203620.72,1500,0,0,21350
202308,정기권,04373,4373. 서울숲 지식산업센터,F,20대,272,11315.30,112.37,488032.89,5437,0,0,21517
202308,정기권,04377,4377. 우영테크노센터 앞,F,20대,205,7534.47,71.19,306823.87,3377,0,0,21518
202308,정기권,04381,4381. 더스페이스타워 앞,F,20대,179,13905.33,142.93,617183.76,4481,0,0,21554
202308,정기권,04382,4382. 페코텍글로벌허브빌딩 앞,F,20대,406,12962.72,130.05,560377.08,4981,0,0,21555
202308,정기권,04383,4383. 푸조비즈타워 앞,F,20대,189,6042.18,60.93,263933.86,2378,0,0,21556
202308,정기권,04385,4385. 용답동 우체국 주변,F,20대,198,7457.29,75.12,325375.77,3875,0,0,21614
202308,정기권,04386,4386. 현대자동차 동부서비스센터 주변,F,20대,150,4746.33,49.32,213917.25,2386,0,0,21639
202308,정기권,04387,4387. 성수역 1번출구 주변,F,20대,101,6110.76,59.09,254630.25,1716,0,0,21640
202308,정기권,04388,4388. 하우스디세종타워 앞,F,20대,99,5360.83,51.25,224494.54,2071,0,0,21655
202308,정기권,04389,4389. 서울숲역3번출구,F,20대,18,1394.81,14.03,60647.88,591,0,0,21729
202308,정기권,04390,4390. 신답역 1번출구,F,20대,57,1347.72,13.36,57669.85,574,0,0,21752
202308,정기권,04406,4406. 장곡초등학교 앞,F,20대,75,5266.94,51.56,229118.17,1658,0,0,21243
202308,정기권,04408,4408. 돌곶이역 앞,F,20대,186,9155.63,90.88,392126.06,3825,0,0,21305
202308,정기권,04411,4411. 동산어린이공원 앞,F,20대,58,1928.07,20.40,88991.99,659,0,0,21413
202308,정기권,04414,4414. 안암역 3번 출구,F,20대,127,4458.41,45.40,195709.62,1831,0,0,21451
202308,정기권,04415,4415. 미아초교버스승강장,F,20대,4,108.42,1.21,5225.87,28,0,0,21486
202308,정기권,04417,4417. 성북청소년문화의집,F,20대,9,929.72,9.27,39948.88,302,0,0,21557
